bestAnswer,score
0,5.134475E-2
0,2.898599E-1
0,5.987897E-2
0,6.385631E-2
1,7.987384E-1
0,8.766819E-3
1,8.507891E-1
0,4.405023E-1
1,7.508441E-1
0,6.088586E-4
0,1.841662E-2
0,1.354444E-1
1,9.919626E-1
0,7.913529E-2
1,9.464648E-1
1,8.798816E-1
0,1.414128E-1
0,7.87384E-3
1,6.438712E-1
1,8.109347E-1
0,4.903912E-2
1,8.908786E-1
1,6.956528E-1
0,4.16419E-2
1,9.823592E-1
0,3.589987E-4
1,9.760046E-1
0,2.365166E-2
0,9.095656E-2
0,9.634253E-3
0,2.002045E-2
0,1.189234E-3
1,8.686561E-1
1,6.013081E-1
0,4.012271E-1
0,1.965665E-2
1,7.728761E-1
0,1.853738E-1
0,1.196617E-2
0,9.288676E-2
0,3.078231E-2
0,1.361969E-1
0,8.22077E-3
1,8.670188E-1
1,9.997865E-1
0,3.764955E-1
0,3.306632E-2
0,3.646839E-2
1,9.990658E-1
1,9.723756E-1
0,1.781832E-1
0,3.46521E-1
1,7.204369E-1
1,8.780277E-1
0,3.117443E-1
0,1.532515E-1
0,2.462254E-2
0,9.038867E-2
0,8.20724E-3
1,9.940592E-1
0,2.225297E-2
0,2.999595E-1
0,2.547623E-2
1,8.750438E-1
1,9.30769E-1
1,9.989406E-1
1,8.290662E-1
0,2.75528E-2
0,2.42537E-1
1,9.921634E-1
1,9.617071E-1
0,4.522156E-3
1,9.501059E-1
0,9.417127E-2
1,9.956226E-1
1,6.696852E-1
0,6.215168E-2
1,9.965188E-1
0,5.263702E-2
1,9.376971E-1
0,4.203495E-1
0,2.89992E-2
0,2.635118E-1
0,1.841662E-2
0,1.893418E-2
0,9.805738E-3
1,9.104816E-1
1,8.989352E-1
1,8.353592E-1
1,7.900609E-1
0,2.018687E-1
0,1.597243E-2
1,9.912955E-1
0,5.223429E-2
1,6.90413E-1
0,6.533575E-2
1,9.909166E-1
1,5.189867E-1
0,2.181965E-1
0,2.499734E-2
1,9.927747E-1
0,1.305675E-1
0,2.509489E-2
0,2.337363E-2
1,8.681985E-1
0,7.11754E-2
0,1.079527E-2
0,1.102612E-1
0,8.730842E-3
0,1.532384E-1
0,2.022361E-1
1,9.296819E-1
1,9.584259E-1
1,7.656891E-1
1,9.431036E-1
0,1.004066E-2
0,1.113903E-2
1,9.54616E-1
1,7.398132E-1
1,9.924701E-1
1,9.533832E-1
0,1.231622E-2
1,9.978272E-1
0,1.700247E-3
0,2.483697E-2
1,8.372428E-1
0,4.653907E-2
1,9.514022E-1
0,8.845017E-2
0,3.805286E-2
0,1.910597E-1
1,7.313675E-1
0,2.398118E-1
0,1.054494E-2
0,1.459743E-2
0,2.106311E-1
0,1.965665E-2
0,1.906318E-1
1,8.387568E-1
0,4.449557E-5
0,3.44894E-3
1,9.13118E-1
0,9.426389E-2
0,6.880432E-2
0,4.461406E-1
0,1.187213E-5
0,3.580325E-1
0,7.233056E-2
0,1.996955E-1
0,1.832427E-2
1,9.990981E-1
0,5.002986E-2
0,2.420049E-3
1,6.53832E-1
1,6.18659E-1
0,6.183486E-3
1,9.908796E-1
1,7.607819E-1
0,3.812476E-1
0,3.202887E-1
1,8.649983E-1
1,8.922281E-1
1,9.405944E-1
0,5.038899E-3
0,4.823955E-3
1,9.685155E-1
0,2.0236E-1
0,2.630161E-4
1,9.960584E-1
0,2.409909E-1
0,6.124129E-3
0,3.084655E-2
0,2.892364E-3
0,2.346304E-2
0,9.044519E-2
1,7.12352E-1
1,8.339719E-1
0,1.732312E-1
1,9.967506E-1
1,9.791979E-1
0,2.963058E-2
0,1.406993E-1
1,9.965854E-1
0,3.646839E-2
1,9.925585E-1
0,1.150988E-1
1,9.215171E-1
0,2.819929E-3
0,2.093551E-2
0,1.985162E-2
0,6.352062E-2
0,2.795628E-1
0,1.650594E-1
0,3.428914E-2
1,8.547156E-1
0,6.804023E-3
1,9.942828E-1
1,7.856927E-1
0,1.516603E-1
1,8.053086E-1
1,9.192816E-1
0,2.051787E-1
0,1.625643E-1
1,9.761456E-1
0,1.093023E-1
0,2.568644E-1
1,9.242758E-1
0,9.667669E-2
1,8.930885E-1
0,6.533575E-2
1,7.930302E-1
0,2.457674E-3
0,1.450945E-2
1,9.735513E-1
0,2.762395E-2
1,5.384992E-1
1,7.296763E-1
0,1.603111E-1
1,9.909535E-1
0,1.45885E-2
1,9.11492E-1
0,2.076953E-3
1,9.868652E-1
0,4.304712E-3
1,9.846329E-1
1,9.739222E-1
0,1.03437E-1
1,7.856972E-1
0,3.628796E-3
0,4.837023E-2
0,8.850208E-2
1,9.009024E-1
0,2.885966E-3
0,4.336954E-2
0,1.898023E-1
0,1.893136E-2
1,5.29515E-1
0,9.110439E-3
1,7.948507E-1
1,9.284651E-1
1,9.978721E-1
1,8.437059E-1
1,5.373667E-1
0,1.841662E-2
0,2.490707E-1
0,1.352175E-1
1,9.883654E-1
0,3.162068E-2
1,9.487457E-1
1,8.230283E-1
0,3.940247E-1
0,5.01144E-2
0,4.653224E-1
0,2.876228E-2
0,7.784728E-3
0,6.226535E-3
0,2.483697E-2
0,2.548029E-2
1,9.636229E-1
0,5.434266E-2
0,9.870125E-2
0,1.851451E-2
1,9.944861E-1
1,7.900541E-1
0,1.845826E-1
0,1.841662E-2
0,9.845203E-2
0,6.011672E-3
1,9.694623E-1
0,1.057128E-2
0,2.725654E-1
0,2.479231E-2
1,9.974837E-1
1,7.742857E-1
0,1.090542E-2
1,7.291429E-1
0,4.511811E-2
0,5.614188E-2
0,1.072415E-2
0,7.601608E-3
0,3.624376E-1
0,2.496466E-1
1,8.669001E-1
1,6.383563E-1
0,1.292651E-1
0,4.785656E-3
0,2.370026E-3
0,1.933154E-1
0,6.866967E-2
0,2.212173E-2
0,3.651321E-3
1,9.266722E-1
0,1.965665E-2
1,6.472587E-1
0,1.530265E-2
0,2.807537E-2
1,9.161167E-1
0,2.014042E-2
0,4.836779E-2
0,2.68177E-2
0,6.022034E-2
1,5.366068E-1
0,1.67495E-1
0,9.610161E-3
1,9.122929E-1
1,9.985892E-1
0,7.782447E-3
1,7.187331E-1
0,2.488098E-1
0,4.470816E-1
0,7.147911E-3
0,1.436851E-2
0,6.684231E-3
1,7.819775E-1
1,9.86135E-1
1,9.395877E-1
0,1.61317E-1
0,1.041477E-1
0,3.732772E-2
0,4.016638E-3
0,4.446057E-2
0,2.180962E-1
0,2.872561E-1
0,8.328624E-2
1,9.795031E-1
0,2.967753E-3
1,9.804498E-1
0,8.126683E-2
0,3.827268E-1
0,1.142737E-2
1,9.949223E-1
0,8.620018E-2
0,1.813166E-2
1,9.981323E-1
0,5.792002E-2
1,7.824287E-1
1,5.989617E-1
0,4.868189E-3
0,1.229141E-1
1,7.390453E-1
0,2.992937E-2
0,6.172731E-2
0,3.740778E-4
1,9.953964E-1
0,1.628549E-1
1,8.026722E-1
0,4.006287E-2
1,6.59312E-1
0,4.996942E-2
1,9.786643E-1
1,9.979888E-1
0,1.398351E-1
0,1.287611E-2
0,8.232624E-2
1,6.972514E-1
0,3.988532E-1
1,9.910413E-1
0,5.047134E-2
0,3.646839E-2
1,8.683061E-1
0,1.086546E-2
1,9.914377E-1
1,7.425E-1
0,2.805212E-2
1,9.997656E-1
0,7.727866E-2
0,9.018263E-4
0,3.027079E-1
1,9.928371E-1
0,2.592113E-1
0,7.918437E-3
1,9.938967E-1
0,1.289101E-1
0,1.178264E-2
1,9.869074E-1
1,9.204411E-1
0,3.378794E-2
0,1.664735E-2
0,4.501068E-1
1,9.772454E-1
0,3.330233E-2
